meeting_id,city,meeting_date,duration,agenda_type,speaker_count,word_count
LongBeachCC_08092022,LongBeachCC,2022-08-09,20087.0,Agenda Item,11,50509
LongBeachCC_07192022,LongBeachCC,2022-07-19,14362.0,Agenda Item,14,35758
LongBeachCC_07122022,LongBeachCC,2022-07-12,9606.0,Contract,8,22597
LongBeachCC_07052022,LongBeachCC,2022-07-05,8138.0,Agenda Item,9,20398
LongBeachCC_06212022,LongBeachCC,2022-06-21,11180.0,Contract,10,27116
LongBeachCC_06142022,LongBeachCC,2022-06-14,13842.0,Emergency Ordinance,9,36861
LongBeachCC_05242022,LongBeachCC,2022-05-24,8752.0,Agenda Item,9,20221
LongBeachCC_05172022,LongBeachCC,2022-05-17,8040.0,Agenda Item,8,19936
LongBeachCC_05102022,LongBeachCC,2022-05-10,14222.0,Agenda Item,10,37108
LongBeachCC_05032022,LongBeachCC,2022-05-03,8191.0,Agenda Item,10,19773
LongBeachCC_04192022,LongBeachCC,2022-04-19,9126.0,Resolution,10,20977
LongBeachCC_04122022,LongBeachCC,2022-04-12,7313.0,Agenda Item,8,16420
LongBeachCC_04052022,LongBeachCC,2022-04-05,10756.0,Agenda Item,7,27670
LongBeachCC_03222022,LongBeachCC,2022-03-22,8269.0,Agenda Item,10,20399
LongBeachCC_03152022,LongBeachCC,2022-03-15,11182.0,Agenda Item,10,28006
LongBeachCC_03082022,LongBeachCC,2022-03-08,11066.0,Agenda Item,7,26808
LongBeachCC_03012022,LongBeachCC,2022-03-01,4661.0,Agenda Item,5,10915
LongBeachCC_02152022,LongBeachCC,2022-02-15,17278.0,Contract,7,41856
LongBeachCC_02082022,LongBeachCC,2022-02-08,17074.0,Contract,6,40259
LongBeachCC_02012022,LongBeachCC,2022-02-01,14230.0,Agenda Item,6,35375
LongBeachCC_01182022,LongBeachCC,2022-01-18,14633.0,Agenda Item,6,34495
LongBeachCC_01042022,LongBeachCC,2022-01-04,6039.0,Agenda Item,9,14737
LongBeachCC_12072021,LongBeachCC,2021-12-07,16856.0,Public Hearing,10,41771
LongBeachCC_11162021,LongBeachCC,2021-11-16,11777.0,Public Hearing,4,28466
LongBeachCC_11092021,LongBeachCC,2021-11-09,17006.0,Agenda Item,7,42879
LongBeachCC_10192021,LongBeachCC,2021-10-19,5882.0,Contract,6,14160
LongBeachCC_10122021,LongBeachCC,2021-10-12,16414.0,Agenda Item,6,41851
LongBeachCC_10052021,LongBeachCC,2021-10-05,8575.0,Agenda Item,4,21147
LongBeachCC_09142021,LongBeachCC,2021-09-14,13898.0,Agenda Item,6,35245
LongBeachCC_09072021,LongBeachCC,2021-09-07,10414.0,Public Hearing,4,25653
LongBeachCC_08242021,LongBeachCC,2021-08-24,12806.0,Agenda Item,12,30477
LongBeachCC_08172021,LongBeachCC,2021-08-17,16569.0,Agenda Item,9,43431
LongBeachCC_08102021,LongBeachCC,2021-08-10,19156.0,Agenda Item,11,48358
LongBeachCC_08032021,LongBeachCC,2021-08-03,11406.0,Agenda Item,11,29417
LongBeachCC_07202021,LongBeachCC,2021-07-20,15667.0,Contract,11,41002
LongBeachCC_07132021,LongBeachCC,2021-07-13,14791.0,Agenda Item,10,38314
LongBeachCC_06152021,LongBeachCC,2021-06-15,16709.0,Emergency Ordinance,9,43682
LongBeachCC_06082021,LongBeachCC,2021-06-08,8610.0,Agenda Item,6,20351
LongBeachCC_06012021,LongBeachCC,2021-06-01,7413.0,Resolution,8,17377
LongBeachCC_05182021,LongBeachCC,2021-05-18,14410.0,Agenda Item,11,35949
LongBeachCC_05112021,LongBeachCC,2021-05-11,4158.0,Agenda Item,7,10336
LongBeachCC_05042021,LongBeachCC,2021-05-04,8309.0,Contract,6,19691
LongBeachCC_04202021,LongBeachCC,2021-04-20,16563.0,Contract,9,40337
LongBeachCC_04132021,LongBeachCC,2021-04-13,13252.0,Resolution,9,31725
LongBeachCC_04062021,LongBeachCC,2021-04-06,6078.0,Ordinance,6,13854
LongBeachCC_03232021,LongBeachCC,2021-03-23,3264.0,Agenda Item,8,7292
LongBeachCC_03162021,LongBeachCC,2021-03-16,19460.0,Resolution,8,48786
LongBeachCC_03092021,LongBeachCC,2021-03-09,8362.0,Agenda Item,8,19459
LongBeachCC_03022021,LongBeachCC,2021-03-02,12093.0,Agenda Item,5,29050
